Outcome,Time,Algorithm,Score_actual,Score_predicted
1.0,38.597,1.0,3950.0,1032.3290686231721
1.0,66.888,1.0,5640.0,1354.8378434154579
0.0,15.088,1.0,140.0,753.991435600477
1.0,48.88,1.0,2390.0,1149.552133597513
1.0,25.144,1.0,1230.0,878.9689701013588
